sentence1,sentence2,label
jeffery created a silly work of art and jeffery created a vast work of art,jeffery didn t create a silly work of art,1
hilda created a zealous work of art and hilda created a better work of art,hilda didn t create a zealous work of art,1
cheryl created an ugly work of art and cheryl created an obedient work of art,cheryl didn t create an ugly work of art,1
hector created a plump work of art and hector created a bald work of art,hector didn t create a plump work of art,1
madeline created a lemon work of art and madeline created an important work of art,madeline didn t create a careful work of art,0
shawn created a zealous work of art and shawn created a proud work of art,shawn didn t create a zealous work of art,1
mattie created a bald work of art and mattie created a worried work of art,mattie didn t create a delightful work of art,0
crystal created a wonderful work of art and crystal created an orange work of art,crystal didn t create an ambitious work of art,0
rodney created a happy work of art and rodney created a lively work of art,rodney didn t create a happy work of art,1
elmer created a gorgeous work of art and elmer created a lazy work of art,curtis didn t create a lazy work of art,0
velma created an elegant work of art and velma created an eager work of art,gilbert didn t create an elegant work of art,0
martha created an attractive work of art and martha created a helpful work of art,martha didn t create an attractive work of art,1
francis created a better work of art and francis created an obnoxious work of art,francis didn t create a witty work of art,0
esther created an unimportant work of art and esther created a gray work of art,verna didn t create an unimportant work of art,0
eddie created a silly work of art and eddie created a plump work of art,eddie didn t create an odd work of art,0
roberto created an agreeable work of art and roberto created a panicky work of art,roberto didn t create an agreeable work of art,1
faye created a victorious work of art and faye created an itchy work of art,jay didn t create an itchy work of art,0
marshall created a salmon work of art and marshall created a green work of art,marshall didn t create a salmon work of art,1
isaac created a fierce work of art and isaac created a faithful work of art,jackie didn t create a fierce work of art,0
terrence created a white work of art and terrence created an obnoxious work of art,terrence didn t create a white work of art,1
maryann created a plump work of art and maryann created a dazzling work of art,maryann didn t create a plump work of art,1
alicia created a thankful work of art and alicia created a worried work of art,larry didn t create a worried work of art,0
ramona created an inexpensive work of art and ramona created an unkempt work of art,ramona didn t create an inexpensive work of art,1
lance created a gentle work of art and lance created a witty work of art,darlene didn t create a witty work of art,0
chester created a beautiful work of art and chester created a clumsy work of art,chester didn t create a zealous work of art,0
edwin created a gentle work of art and edwin created an ugly work of art,edwin didn t create a skinny work of art,0
eddie created a handsome work of art and eddie created an odd work of art,eddie didn t create a handsome work of art,1
joann created a shapely work of art and joann created a beautiful work of art,joann didn t create a shapely work of art,1
crystal created a long work of art and crystal created a muscular work of art,crystal didn t create an easy work of art,0
vivian created a silly work of art and vivian created a dead work of art,vivian didn t create an eager work of art,0
mildred created an aggressive work of art and mildred created an angry work of art,mildred didn t create a salmon work of art,0
troy created a gentle work of art and troy created an easy work of art,troy didn t create a gentle work of art,1
katherine created a helpful work of art and katherine created a jealous work of art,katherine didn t create a helpful work of art,1
greg created a thankful work of art and greg created a bewildered work of art,kyle didn t create a thankful work of art,0
ruth created a calm work of art and ruth created a dazzling work of art,ruth didn t create an orange work of art,0
virgil created a scary work of art and virgil created a witty work of art,virgil didn t create a scary work of art,1
dave created a happy work of art and dave created a famous work of art,dave didn t create a skinny work of art,0
peter created a green work of art and peter created an orange work of art,virgil didn t create a green work of art,0
megan created an odd work of art and megan created an unsightly work of art,megan didn t create an odd work of art,1
leona created a vast work of art and leona created a faithful work of art,leona didn t create a vast work of art,1
albert created a short work of art and albert created a proud work of art,albert didn t create a short work of art,1
bobby created an inexpensive work of art and bobby created a polite work of art,bobby didn t create a proud work of art,0
brad created a grumpy work of art and brad created a wrong work of art,brad didn t create a grumpy work of art,1
jennie created an obedient work of art and jennie created a wrong work of art,andre didn t create a wrong work of art,0
patrick created a bewildered work of art and patrick created a jealous work of art,minnie didn t create a bewildered work of art,0
misty created a lemon work of art and misty created a short work of art,misty didn t create a lemon work of art,1
linda created an attractive work of art and linda created a mango work of art,linda didn t create an uninterested work of art,0
myrtle created a brave work of art and myrtle created a proud work of art,myrtle didn t create a brave work of art,1
leah created a defeated work of art and leah created a thankful work of art,leah didn t create a defeated work of art,1
paul created a stocky work of art and paul created a nervous work of art,paul didn t create a stocky work of art,1
robin created a witty work of art and robin created a fit work of art,robin didn t create a witty work of art,1
angie created a lively work of art and angie created a black work of art,angie didn t create a lively work of art,1
franklin created a purple work of art and franklin created a repulsive work of art,franklin didn t create a purple work of art,1
randall created an alive work of art and randall created a grumpy work of art,randall didn t create an alive work of art,1
elsie created a delightful work of art and elsie created a black work of art,jordan didn t create a delightful work of art,0
clarence created an odd work of art and clarence created a lemon work of art,clarence didn t create an odd work of art,1
stella created a victorious work of art and stella created a fierce work of art,june didn t create a victorious work of art,0
lewis created a proud work of art and lewis created a beautiful work of art,lewis didn t create an itchy work of art,0
andy created a kind work of art and andy created a fancy work of art,andy didn t create a kind work of art,1
jennifer created a shapely work of art and jennifer created a delightful work of art,jennifer didn t create a shapely work of art,1
lloyd created a kind work of art and lloyd created a jealous work of art,lloyd didn t create a kind work of art,1
jason created a clever work of art and jason created a careful work of art,jason didn t create a shy work of art,0
ada created a vast work of art and ada created a victorious work of art,brian didn t create a victorious work of art,0
debra created a helpless work of art and debra created an easy work of art,rhonda didn t create an easy work of art,0
jean created a better work of art and jean created a brave work of art,eric didn t create a better work of art,0
julia created an embarrassed work of art and julia created an attractive work of art,russell didn t create an embarrassed work of art,0
emily created an unkempt work of art and emily created a jolly work of art,emily didn t create an unkempt work of art,1
johnnie created a better work of art and johnnie created a jolly work of art,johnnie didn t create a gentle work of art,0
leona created a mysterious work of art and leona created an attractive work of art,leona didn t create a shy work of art,0
harriet created a mango work of art and harriet created a powerful work of art,harriet didn t create a mango work of art,1
rose created a silly work of art and rose created an odd work of art,rose didn t create a silly work of art,1
alvin created a scruffy work of art and alvin created an attractive work of art,alvin didn t create a pitiful work of art,0
lola created a stocky work of art and lola created a careful work of art,michele didn t create a careful work of art,0
leslie created an uninterested work of art and leslie created a handsome work of art,leslie didn t create an uninterested work of art,1
sandra created an elegant work of art and sandra created a plain work of art,sandra didn t create a gray work of art,0
ted created a jealous work of art and ted created an unkempt work of art,scott didn t create a jealous work of art,0
brandy created a polite work of art and brandy created a victorious work of art,brandy didn t create a polite work of art,1
tyrone created a clean work of art and tyrone created an obedient work of art,tyrone didn t create a clean work of art,1
louis created a plain work of art and louis created a long work of art,louis didn t create a yellow work of art,0
brittany created a proud work of art and brittany created a helpless work of art,brittany didn t create a proud work of art,1
ethel created a scary work of art and ethel created an itchy work of art,ethel didn t create a scary work of art,1
leslie created a dead work of art and leslie created a handsome work of art,leslie didn t create a dead work of art,1
seth created a gray work of art and seth created a bewildered work of art,seth didn t create a gray work of art,1
felicia created a worried work of art and felicia created a repulsive work of art,felicia didn t create a mushy work of art,0
katie created a vast work of art and katie created a calm work of art,george didn t create a vast work of art,0
andy created a magnificent work of art and andy created a dead work of art,cora didn t create a magnificent work of art,0
flora created a mealy work of art and flora created a skinny work of art,flora didn t create a long work of art,0
arthur created a kind work of art and arthur created a helpful work of art,arthur didn t create a glamorous work of art,0
craig created a gifted work of art and craig created a lazy work of art,craig didn t create a gifted work of art,1
lee created a careful work of art and lee created a famous work of art,lee didn t create a powerful work of art,0
vivian created a mysterious work of art and vivian created a nervous work of art,vivian didn t create a mysterious work of art,1
norman created a mealy work of art and norman created a red work of art,norman didn t create a mealy work of art,1
willard created a famous work of art and willard created a green work of art,willard didn t create a famous work of art,1
felicia created a gentle work of art and felicia created an attractive work of art,jennifer didn t create an attractive work of art,0
michele created a drab work of art and michele created a handsome work of art,alice didn t create a handsome work of art,0
travis created a blue work of art and travis created a salmon work of art,travis didn t create a kind work of art,0
armando created a lazy work of art and armando created an angry work of art,armando didn t create a lazy work of art,1
sherri created a gifted work of art and sherri created a purple work of art,sherri didn t create a gifted work of art,1
debra created a defeated work of art and debra created a green work of art,debra didn t create a defeated work of art,1
chad created a blue work of art and chad created a nice work of art,chad didn t create a blue work of art,1
joann created a better work of art and joann created a worried work of art,joann didn t create a better work of art,1
timothy created a short work of art and timothy created a gray work of art,timothy didn t create a short work of art,1
katherine created a tender work of art and katherine created a silly work of art,katherine didn t create a tender work of art,1
jeff created a powerful work of art and jeff created a tender work of art,jeff didn t create a powerful work of art,1
jason created a stocky work of art and jason created a blue work of art,jason didn t create a stocky work of art,1
jonathan created an icy work of art and jonathan created a careful work of art,jonathan didn t create a brave work of art,0
amanda created a polite work of art and amanda created a gorgeous work of art,amanda didn t create a polite work of art,1
danielle created a nervous work of art and danielle created a mealy work of art,david didn t create a nervous work of art,0
connie created an embarrassed work of art and connie created an obedient work of art,patsy didn t create an embarrassed work of art,0
neil created a jealous work of art and neil created an itchy work of art,benjamin didn t create an itchy work of art,0
manuel created an orange work of art and manuel created a black work of art,manuel didn t create a witty work of art,0
cora created a scruffy work of art and cora created a powerful work of art,cora didn t create a scruffy work of art,1
kayla created a clean work of art and kayla created a flabby work of art,kayla didn t create a clean work of art,1
carol created an important work of art and carol created a calm work of art,bob didn t create a calm work of art,0
viola created a witty work of art and viola created an uninterested work of art,viola didn t create a witty work of art,1
ellen created an alive work of art and ellen created a witty work of art,nellie didn t create a witty work of art,0
jack created a calm work of art and jack created an obedient work of art,carol didn t create an obedient work of art,0
marcia created an easy work of art and marcia created a gifted work of art,marcia didn t create an easy work of art,1
joshua created a helpful work of art and joshua created a scruffy work of art,joshua didn t create a helpful work of art,1
cecilia created an unsightly work of art and cecilia created an alive work of art,cecilia didn t create an unsightly work of art,1
nelson created an uninterested work of art and nelson created a scruffy work of art,nelson didn t create an uninterested work of art,1
felix created an obedient work of art and felix created an elegant work of art,felix didn t create an obedient work of art,1
leo created a gifted work of art and leo created a plump work of art,leo didn t create a gifted work of art,1
dwayne created a bald work of art and dwayne created a lively work of art,dwayne didn t create a bald work of art,1
maureen created a bald work of art and maureen created a thoughtless work of art,maureen didn t create a bald work of art,1
stacy created an alive work of art and stacy created a silly work of art,maria didn t create an alive work of art,0
norma created a lively work of art and norma created a faithful work of art,salvador didn t create a lively work of art,0
jerome created a red work of art and jerome created a chubby work of art,flora didn t create a chubby work of art,0
rafael created an icy work of art and rafael created an inexpensive work of art,rafael didn t create an icy work of art,1
ken created a vast work of art and ken created an agreeable work of art,ken didn t create a vast work of art,1
elmer created a gorgeous work of art and elmer created a clever work of art,elmer didn t create a gorgeous work of art,1
jeff created an attractive work of art and jeff created a gray work of art,jeff didn t create an attractive work of art,1
cynthia created a short work of art and cynthia created a plain work of art,cynthia didn t create an obedient work of art,0
alberta created a purple work of art and alberta created a dead work of art,alberta didn t create a purple work of art,1
max created a wonderful work of art and max created an uninterested work of art,max didn t create a wonderful work of art,1
pamela created a glamorous work of art and pamela created a bald work of art,pamela didn t create an unsightly work of art,0
louis created a gray work of art and louis created a faithful work of art,louis didn t create a gray work of art,1
alexander created a fierce work of art and alexander created a brave work of art,alexander didn t create a fierce work of art,1
jeffery created a powerful work of art and jeffery created an odd work of art,marion didn t create an odd work of art,0
gloria created a helpful work of art and gloria created a green work of art,gloria didn t create a helpful work of art,1
janet created a magnificent work of art and janet created an important work of art,kim didn t create a magnificent work of art,0
marshall created a flabby work of art and marshall created a fierce work of art,clayton didn t create a flabby work of art,0
marion created an unkempt work of art and marion created a fit work of art,marion didn t create an unkempt work of art,1
calvin created a hallowed work of art and calvin created an uptight work of art,calvin didn t create a drab work of art,0
edith created a grumpy work of art and edith created a worried work of art,edith didn t create a grumpy work of art,1
theresa created a dazzling work of art and theresa created a bewildered work of art,willard didn t create a dazzling work of art,0
kirk created an alive work of art and kirk created a pitiful work of art,kirk didn t create an alive work of art,1
paula created a mango work of art and paula created a thankful work of art,paula didn t create a mango work of art,1
