sentence1,sentence2,label
"Lula, who is a painter, bought a Chilean wine","Lula, who is a chef, didn't buy a Chilean wine",0
"Willard, who is a receptionist, visit Norma",Willard didn't visit Norma,1
"Lee, who is a builder, bought a cup of coffee",Lee didn't buy a cup of coffee,1
"Leona, who is a baker, saw the car crash",Leona isn't a baker,1
"Salvador, who is a technician, visit Julian","Salvador, who is a butcher, didn't visit Julian",0
Sylvia saw Vickie driving Toni's car,Sylvia didn't saw Vickie driving Karen's bicycle,0
Elmer saw a boy driving Terri's car,Elmer didn't saw a boy driving a gray bicycle,0
Gwendolyn saw a girl running from a blue bus with a new engine,Gwendolyn didn't saw a girl running,1
Mattie saw a girl driving an electric gray bicycle,Mattie didn't saw a girl driving,1
"Alan, who is a nurse, visit Phyllis","Alan, Aaron's father, didn't visit Phyllis",0
Carmen saw a boy driving an electric icy bicycle,Carmen didn't saw a boy driving,1
"Sheryl, who is a musician, saw the car crash",Sheryl didn't saw the car crash,1
Richard saw Elsie driving Joyce's bicycle,Richard didn't saw Elsie driving,1
"Terri, who is a hairdresser, bought a cup of coffee",Terri isn't a hairdresser,1
"Julio, who is a butcher, saw the city mayor",Julio isn't a butcher,1
Katherine saw a boy running from a special recently built bus,Katherine didn't saw a boy running from Keith's car,0
"Stacy, who is a fireman, saw a strange add",Stacy didn't saw a strange add,1
"Gene, who is a barber, visit Amy",Gene didn't visit Amy,1
Marcia saw Valerie running from a lemon bus with a new engine,Marcia didn't saw Valerie running,1
"Caroline, who is a lawyer, visit Jim",Caroline didn't visit Jim,1
"Stacey, who is a builder, visit Carmen",Stacey isn't a builder,1
"Rafael, who is a engineer, bought a pizza",Rafael isn't a engineer,1
"Chris, who is a barber, visit Audrey",Chris isn't a barber,1
Corey saw a girl running from a green school bus,Corey didn't saw a girl running,1
"Frances, who is a doctor, saw a dog chasing a cat",Frances didn't saw a dog chasing a cat,1
Gene saw Annette driving in Cluj-Napoca,Gene didn't saw Annette driving Alicia's bicycle,0
Ted saw Theresa driving in Deva,Ted didn't saw Theresa driving Brett's new Tesla Roadster,0
Tracy saw a boy running from a green bus,Tracy didn't saw a boy running,1
"Kristina, who is a bartender, bought a Chilean wine",Kristina didn't buy a Chilean wine,1
"Debbie, who is a pilot, bought a Chilean wine",Debbie didn't buy a Chilean wine,1
"Gregory, who is a cop, bought a japanese novel","Gregory, Norma's father, didn't buy a japanese novel",0
"Ralph, who is a nurse, bought a japanese novel","Ralph, who is a accountant, didn't buy a japanese novel",0
"Duane, who is a technician, visit Cathy","Duane, Leroy's father, didn't visit Cathy",0
"Cindy, who is a fireman, saw the new Tesla Roadster","Cindy, who is a electrician, didn't saw the new Tesla Roadster",0
"Misty, who is a fireman, saw the city mayor","Misty, who is a carpenter, didn't saw the city mayor",0
"Holly, who is a dentist, bought a Macbook","Holly, Anne's mother, didn't buy a Macbook",0
"Brent, who is a scientist, visit Shelly",Brent didn't visit Shelly,1
"Seth, who is a butcher, visit Leonard","Seth, Clyde's father, didn't visit Leonard",0
"Velma, who is a judge, saw the car crash","Velma, Kenneth's mother, didn't saw the car crash",0
Teresa saw a girl running from Lance's car,Teresa didn't saw a girl running from a special recently built bus,0
"Cody, who is a pilot, bought the new Marvel movie from the Russo Brothers","Cody, who is a fireman, didn't buy the new Marvel movie from the Russo Brothers",0
"Tonya, who is a cleaner, saw the accident",Tonya didn't saw the accident,1
"Joann, who is a painter, saw the new Marvel movie from the Russo Brothers",Joann isn't a painter,1
"Vanessa, who is a journalist, bought the new Tesla Roadster","Vanessa, who is a nurse, didn't buy the new Tesla Roadster",0
"Carrie, who is a cleaner, bought a japanese novel",Carrie didn't buy a japanese novel,1
"Luz, who is a lawyer, saw a blue plane",Luz isn't a lawyer,1
"Matthew, who is a vet, visit Christy","Matthew, who is a scientist, didn't visit Christy",0
"Bobby, who is a plumber, bought the new Marvel movie from the Russo Brothers",Bobby isn't a plumber,1
Judy saw a boy running from a gray bus with a new engine,Judy didn't saw a boy running,1
Judith saw a girl driving Gregory's bicycle,Judith didn't saw a girl driving an electric lemon bicycle,0
Martha saw Philip running from a red bus,Martha didn't saw Philip running,1
Victor saw a boy running from a parade car,Victor didn't saw a boy running,1
"Amber, who is a journalist, visit Jose","Amber, Deborah's mother, didn't visit Jose",0
"Grace, who is a flight attendant, visit Priscilla",Grace isn't a flight attendant,1
"Audrey, who is a cop, visit Pamela",Audrey didn't visit Pamela,1
"Cathy, who is a painter, visit Deborah",Cathy isn't a painter,1
"Alex, who is a barber, saw the new Tesla Roadster",Alex isn't a barber,1
Isabel saw a girl running from a black bus with a new engine,Isabel didn't saw a girl running from Susie's car,0
"Mathew, who is a hairdresser, saw a girl running","Mathew, who is a fireman, didn't saw a girl running",0
Anita saw Virginia driving a purple car,Anita didn't saw Virginia driving,1
"Delores, who is a cop, saw the new Tesla Roadster","Delores, who is a flight attendant, didn't saw the new Tesla Roadster",0
"Kayla, who is a photographer, saw a dog chasing a cat","Kayla, who is a carpenter, didn't saw a dog chasing a cat",0
George saw a boy running from Tracy's car,George didn't saw a boy running,1
Tiffany saw Terry running from a blue school bus,Tiffany didn't saw Terry running,1
"Billie, who is a judge, saw the new Tesla Roadster",Billie isn't a judge,1
"Anthony, who is a barber, visit Rene","Anthony, Lloyd's father, didn't visit Rene",0
Patsy saw a boy driving in Hunedoara,Patsy didn't saw a boy driving,1
"Yvonne, who is a accountant, saw the accident","Yvonne, who is a cashier, didn't saw the accident",0
"Harriet, who is a technician, bought a pizza","Harriet, who is a bartender, didn't buy a pizza",0
Pamela saw Everett running from a parade car,Pamela didn't saw Everett running from a ashy bus with a new engine,0
"Glenn, who is a scientist, bought a japanese novel",Glenn didn't buy a japanese novel,1
"Ken, who is a musician, visit Iris",Ken isn't a musician,1
Cathy saw a boy running from a yellow bus,Cathy didn't saw a boy running from a special recently built bus,0
"Katrina, who is a judge, bought a japanese novel",Katrina isn't a judge,1
Agnes saw a boy driving Daisy's bicycle,Agnes didn't saw a boy driving,1
"Ethel, who is a accountant, saw the car crash",Ethel didn't saw the car crash,1
Claude saw a girl running from a special recently built bus,Claude didn't saw a girl running from a salmon bus with a new engine,0
"Alice, who is a nurse, bought a pizza",Alice didn't buy a pizza,1
Cecilia saw Audrey driving Morris's car,Cecilia didn't saw Audrey driving Everett's bicycle,0
"Bryan, who is a cop, saw a strange add",Bryan didn't saw a strange add,1
"Gabriel, who is a bartender, saw the new Tesla Roadster",Gabriel isn't a bartender,1
"Stanley, who is a flight attendant, visit Mamie","Stanley, Oscar's father, didn't visit Mamie",0
Heather saw a boy driving an electric purple bicycle,Heather didn't saw a boy driving a gray car,0
Sara saw Hugh running from a special recently built bus,Sara didn't saw Hugh running from a bus going to Giurgiu,0
"Everett, who is a cashier, visit Guadalupe",Everett didn't visit Guadalupe,1
Gene saw a girl running from a lemon bus,Gene didn't saw a girl running from a bus going to Cluj-Napoca,0
Misty saw a girl driving a purple car,Misty didn't saw a girl driving,1
"Luz, who is a secretary, visit Lloyd","Luz, Eddie's mother, didn't visit Lloyd",0
