sentence1,sentence2,label
jodi s painting is scary or jodi s painting is aggressive,jodi s painting isn t scary,0
saudi arabia won the last world cup or russia won the last world cup,russia didn t win the last world cup,0
charlie will understand what i said or charlie will teach math,charlie will neither understand what i said nor fall in love with judith,0
mamie will ride the buffalo or mamie will hold me back,mamie will neither ride the buffalo nor hold me back,1
derrick s painting is unimportant or derrick s painting is gorgeous,derrick s painting isn t unimportant and derrick s painting isn t gorgeous,1
myrtle will have a good daya good conversation with christina or myrtle will take the red shirt out of the washer,myrtle will not have a good daya good conversation with christina and myrtle wil not take the red shirt out of the washer,1
costa rica won the last world cup or morocco won the last world cup,neither costa rica nor morocco won the last world cup,1
Lynda is long or Russell is attractive, Lynda is not long or Russell is not attractive,0
francis will beat us a lot or francis will win the soccer match,cynthia will neither beat us a lot nor win the soccer match,0
Alberta is chubby or Russell is flabby, Russell is not flabby,0
evelyn s painting is dead or evelyn s painting is unsightly,evelyn s painting isn t dead and evelyn s painting isn t unsightly,1
jackie s painting is drab or jackie s painting is delightful,jackie s painting is neither drab nor delightful,1
uruguay is in the geopolitical position of germany or egypt is in the geopolitical position of germany,neither france nor uruguay are in the geopolitical position of germany,0
norma will forgive me or norma will fly to reghin,norma will neither send me a letter nor fly to reghin,0
julie s painting is plump or julie s painting is lively,julie s painting is neither plump nor lively,1
patrick s painting is flabby or patrick s painting is hallowed,patrick s painting isn t hallowed,0
regina s painting is defeated or regina s painting is wonderful,regina s painting isn t defeated and regina s painting isn t wonderful,1
jesus has traveled to reghin or jesus has traveled to vaslui,jesus didn t travel to vaslui,0
jack s painting is fierce or jack s painting is quaint,jack s painting isn t fierce and jack s painting isn t quaint,1
norman will hold her close or norman will blow it when he didn t invest in amazon,norman will not hold her close,0
salvador went to reghin or salvador went to deva,salvador didn t go to deva,0
japan is in the geopolitical position of serbia or argentina is in the geopolitical position of serbia,neither japan nor argentina are in the geopolitical position of serbia,1
troy will leave me waiting or troy will wear a white jacket,troy will not leave me waiting and troy wil not wear a white jacket,1
edna will go to tracy s house or edna will make coffee,edna will neither go to tracy s house nor make coffee,1
