sentence1,sentence2,label
Kay sat on the mat and led me to Christian's house,Kay didn't cut a tree,0
Kyle will swim out toward the purple boat or ride the horse,Kyle will not swim out toward the purple boat and Kyle wil not ride the horse,1
Bonnie will feel threatened or make coffee,Bonnie will not feel threatened and Bonnie wil not make coffee,1
Terry will win the game or become the most important photographer in this town,Terry will not win the game and Terry wil not become the most important photographer in this town,1
Antonio created an important and unkempt work of art, Gregory didn't create an important work of art,0
Ken has traveled to Timisoara and Baia Mare,Ken didn't travel to Tulcea,0
Maggie is proud and Pauline is kind, Cora is not important,0
Regina created a repulsive and beautiful work of art, Regina didn't create a repulsive work of art,1
Amelia will ride the buffalo or break Alberto's heart,Amelia will not ride the buffalo,0
Jared created an inexpensive and grumpy work of art, Jared didn't create an inexpensive work of art,1
Roberta is thankful and Stacy is aggressive, Roberta is not thankful,1
Joel is helpless or Sonia is proud, neither Joel is helpless nor Sonia is proud,1
Kristin's painting is defeated or delightful, Tyler's painting is neither defeated nor delightful,0
Karl went to Deva and Turda,Karl didn't go to Deva,1
"Alberto, who is a pilot, visit Rick",Alberto didn't visit Rick,1
Fannie and Joann went to Tulcea,Fernando didn't go to Tulcea,0
Howard will wake up or get the money,Howard will not wake up and Howard wil not get the money,1
Alicia will send me a note or give Eddie a gray bicycle,Alicia will not send me a note,0
"Michele, who is a accountant, bought a Macbook","Michele, who is a journalist, didn't buy a Macbook",0
Margaret saw Gabriel driving in Hunedoara,Margaret didn't saw Gabriel driving Bob's new Tesla Roadster,0
Maria thought I was living in Tulcea and dug a hole,Maria didn't dig a hole,1
Jessie is wrong and Frances is important, Frances is not important,1
Jessie will ride the buffalo or see the best doctor from Bucharest,Jessie will neither ride the buffalo nor see the best doctor from Bucharest,1
Fernando went to Bucharest and Oradea,Fernando didn't go to Bucharest,1
Dwight is plain or Jimmie is worried, Dwight is not plain,0
Virginia is careful and Dianne is famous, Dianne is not famous,1
Emma is unkempt or Melanie is worried, Emma is not unkempt or Melanie is not worried,0
Zachary is unsightly or Gilbert is calm, Zachary is not unsightly or Gilbert is not calm,0
Harriet created a brave and attractive work of art, Harriet didn't create a brave work of art,1
Jason has traveled to Mangalia and Turda,Jason didn't travel to Mangalia,1
Kristi is ambitious and Jeffrey is clever, Kristi is not clever,0
Wade traveled to Craiova or Bucharest,Marion traveled to neither Craiova nor Bucharest,0
Todd's painting is gray or clumsy, Nina's painting is neither gray nor clumsy,0
Daniel's painting is shy or uptight, Daniel's painting isn't uptight,0
Tommy began screaming and lent me some money,Craig didn't lend me some money,0
Annie will say nice things or come at midnight,Annie will neither say nice things nor come at midnight,1
Ruby is bald or Deborah is helpless, Ruby is not bald and Deborah is not helpless,1
"Ricardo, who is a painter, bought a Chilean wine","Ricardo, who is a dentist, didn't buy a Chilean wine",0
Beatrice created a red and helpless work of art, Beatrice didn't create a red work of art,1
Nelson went to Baia Mare or Turda,Nelson went to neither Baia Mare nor Turda,1
Eugene is ambitious and Wade is gentle, Kristi is wrong,0
Glenda created a faithful and silly work of art, Glenda didn't create a faithful work of art,1
Daryl has visited Timisoara or Reghin,Daryl didn't visit Reghin,0
Charlene went to Baia Mare and Arad,Charlene didn't go to Baia Mare,1
France or Iran won the last world cup,France didn't win the last world cup,0
Charlene will sing a nice song or hurt her,Charlene will not sing a nice song,0
Jonathan will dig a hole or build an airplane,Madeline will neither dig a hole nor build an airplane,0
Dustin has visited Reghin and Timisoara,Karl didn't visit Reghin,0
Leon created an easy and scary work of art, Leon didn't create an easy work of art,1
Denise is kind and Julian is vast, Julian is not kind,0
Jay has traveled to Bucharest and Arad,Jay didn't travel to Bucharest,1
Alexander will wake up or lend me Verna's ashy bicycle,Alexander will not wake up and Alexander wil not lend me Verna's ashy bicycle,1
Danny created a fit and lazy work of art, Danny didn't create a fit work of art,1
Antoinette has visited Craiova or Vaslui,Carlos visited neither Craiova nor Vaslui,0
Lydia is thankful or Rebecca is silly, Lydia is not thankful and Rebecca is not silly,1
Ray has visited Slobozia or Slatina,Ray visited neither Slobozia nor Slatina,1
Alberta saw Angie driving in Giurgiu,Alberta didn't saw Angie driving an electric black bicycle,0
Kristen created a tender and muscular work of art, Kristen didn't create a tender work of art,1
Joyce shut the door down and wore a icy hat,Joyce didn't shut the door down,1
Rodney is delightful or Tracy is lazy, neither Rodney is delightful nor Tracy is lazy,1
Brett created a mysterious and better work of art, Brett didn't create a mysterious work of art,1
Darrell is glamorous or Christina is clumsy, neither Darrell is glamorous nor Christina is clumsy,1
Darryl's painting is panicky or hallowed, Darryl's painting isn't hallowed,0
Claire's painting is obnoxious or odd, Claire's painting is neither obnoxious nor odd,1
Denmark or Peru are in the geopolitical position of Iran, neither Denmark nor Peru are in the geopolitical position of Iran,1
Joy has traveled to Oradea and Baia Mare,Judith didn't travel to Oradea,0
Marjorie is thoughtless or Erik is drab, Erik is not drab,0
Panama or Sweden are in the geopolitical position of Senegal,Panama isn't in the geopolitical position of Senegal and Sweden isn't in the geopolitical position of Senegal,1
Delores will do everything or bring me out of Stella's house,Delores will not do everything and Delores wil not bring me out of Stella's house,1
Virginia will send me a note or hear my voice,Virginia will not send me a note,0
Pauline is wonderful or Yolanda is unsightly, neither Pauline is wonderful nor Yolanda is unsightly,1
