sentence1,sentence2,label
Lucy gave Alberta a ashy bicycle and won the game,Lucy didn't ride the horse,0
Candace is unimportant and Thelma is inexpensive, Thelma is not inexpensive,1
Theresa has traveled to Vaslui and Hunedoara,Theresa didn't travel to Hunedoara,1
Jo sat on the floor and dreamed of running in Vaslui,Jo didn't sit on the floor,1
Gail created a gorgeous and muscular work of art, Gail didn't create a gorgeous work of art,1
Cecil created a jolly and stocky work of art, Cecil didn't create a jolly work of art,1
Jamie is aggressive and Brandon is obedient, Anna is not important,0
Vanessa saw Maria running from a special recently built bus,Vanessa didn't saw Maria running,1
"Cheryl, who is a photographer, visit Nora",Cheryl didn't visit Nora,1
Bobbie created a helpful and wrong work of art, Bobbie didn't create a helpful work of art,1
Felicia lost my computer and threw everything out the window,Felicia didn't beat her,0
Aaron and Tina went to Lugoj,Aaron didn't go to Lugoj,1
Marc is thankful and Miriam is silly, Katherine is mushy,0
Tonya created a scary and gray work of art, Daisy didn't create a gray work of art,0
Lindsay created a muscular and gorgeous work of art, Lindsay didn't create a muscular work of art,1
Alex is clever and Yolanda is famous, Yolanda is not famous,1
Tiffany went to Timisoara and Turda,Tiffany didn't go to Timisoara,1
Nina created a muscular and nervous work of art, Nina didn't create an angry work of art,0
Joanne fell to the floor and blew it,Lucille didn't fall to the floor,0
Alvin shut the door down and showed my new photos,Alvin didn't show my new photos,1
Melody is obedient and Linda is silly, Amanda is shy,0
Kirk is polite and Glen is proud, Keith is not uninterested,0
Felix created an ambitious and uninterested work of art, Felix didn't create an ambitious work of art,1
Kayla hit him and lent me some money a month before,Kayla didn't have a white car,0
Lynn has traveled to Cluj-Napoca and Oradea,Lynn didn't travel to Cluj-Napoca,1
Jason sent me a letter and had it all,Jason didn't send me a letter,1
Juanita has traveled to Blaj and Tulcea,Juanita didn't travel to Mangalia,0
"Sandra, who is a cleaner, bought the new Tesla Roadster","Sandra, who is a cashier, didn't buy the new Tesla Roadster",0
Barbara forgave Ian and dug a hole,Barbara didn't win the soccer match,0
Mathew went to Craiova and Baia Mare,Mathew didn't go to Baia Mare,1
Barbara created an ugly and defeated work of art, Barbara didn't create an ugly work of art,1
"Wayne, who is a carpenter, saw a strange add",Wayne isn't a carpenter,1
"Madeline, who is a electrician, bought a cup of coffee",Madeline didn't buy a cup of coffee,1
Andre was the first in line and felt threatened,Becky didn't feel threatened,0
Irene is agreeable and Steven is clever, Irene is not clever,0
Michele created an easy and faithful work of art, Susan didn't create a faithful work of art,0
Felix created a drab and happy work of art, Brett didn't create a drab work of art,0
"Carolyn, who is a carpenter, visit Gina","Carolyn, Jackie's mother, didn't visit Gina",0
Glenn is calm and Manuel is witty, Frederick is not careful,0
"Warren, who is a cleaner, visit Martha","Warren, Faye's father, didn't visit Martha",0
Arthur is jolly and Lori is silly, Elizabeth is careful,0
Jill is zealous and Kyle is jolly, Yolanda is dead,0
Dustin saw a boy running from a salmon bus with a new engine,Dustin didn't saw a boy running,1
Mark is wonderful and Cathy is aggressive, Cynthia is famous,0
Mitchell created an eager and wrong work of art, Jean didn't create an eager work of art,0
Andre is proud and Joanna is powerful, Joanna is not proud,0
"Katie, who is a builder, visit Kirk","Katie, who is a plumber, didn't visit Kirk",0
Jenny wrote me a letter and met Sonya,Jenny didn't meet Sonya,1
Ben is odd and Tracy is wrong, Tracy is not wrong,1
Dora saw a boy running from Andrew's car,Dora didn't saw a boy running from a red bus with a new engine,0
Christopher created a mealy and repulsive work of art, Nicole didn't create a repulsive work of art,0
"Mitchell, who is a pilot, visit Kay","Mitchell, who is a builder, didn't visit Kay",0
Raymond created a lemon and hallowed work of art, Raymond didn't create an ambitious work of art,0
"Rosa, who is a builder, bought a Chilean wine",Rosa didn't buy a Chilean wine,1
Terry and Dean went to Bucharest,Dean didn't go to Dej,0
Jamie saw a boy driving Fred's car,Jamie didn't saw a boy driving an electric black bicycle,0
Byron is nice and Willie is wonderful, Michelle is shy,0
Lindsay created an odd and fancy work of art, Lindsay didn't create an odd work of art,1
"Belinda, who is a carpenter, bought the new Marvel movie from the Russo Brothers",Belinda didn't buy the new Marvel movie from the Russo Brothers,1
"Kathleen, who is a baker, visit Kristy","Kathleen, who is a receptionist, didn't visit Kristy",0
Danielle and Roger have visited Bucharest,Roger didn't visit Bucharest,1
Brett hit him and told me about the bars in Reghin,Joe didn't tell me about the bars in Reghin,0
Lucy and Curtis have traveled to Blaj,Curtis didn't travel to Blaj,1
Clayton has traveled to Bucharest and Mangalia,Clayton didn't travel to Mangalia,1
Marion is jolly and Christina is careful, Marion is not careful,0
Ashley is victorious and Ida is delightful, Calvin is dead,0
