and_A,and_B,label,sentence1,sentence2
,,0,Phillip is defeated or Ryan is pitiful, Phillip is not defeated or Ryan is not pitiful
,,0,australia is in the geopolitical position of egypt or poland is in the geopolitical position of egypt,poland isn t in the geopolitical position of egypt
,,0,"Benjamin, who is a painter, saw the new Tesla Roadster","Benjamin, who is a pilot, didn't saw the new Tesla Roadster"
,,0,leona created an inexpensive work of art and leona created a panicky work of art,velma didn t create a panicky work of art
Kayla is calm,Jamie is eager,1,Kayla is calm and Jamie is eager, Kayla is not calm
,,0,rhonda will take the purple shirt out of the washer or rhonda will dream of the playing with tina,rhonda will not take the purple shirt out of the washer
,,0,ida will make me change the way i wrote or ida will hear me,ida will not hear me
,,0,enrique will dig a hole in christian s backyard or enrique will hit me,enrique will not dig a hole in christian s backyard
,,1,peggy s painting is odd or peggy s painting is magnificent,peggy s painting is neither odd nor magnificent
,,1,antonio s painting is green or antonio s painting is famous,antonio s painting is neither green nor famous
,,1,joy created a poor work of art and joy created a pitiful work of art,joy didn t create a poor work of art
,,0,rebecca s painting is ashy or rebecca s painting is unimportant,marion s painting is neither ashy nor unimportant
,,1,croatia got to the quarter finals last year or poland got to the quarter finals last year,croatia didn t get to the quarter finals last year and poland didn t get to the quarter finals last year
,,1,marian s painting is dazzling or marian s painting is mysterious,marian s painting isn t dazzling and marian s painting isn t mysterious
,,0,"Geraldine, who is a plumber, visit Kirk","Geraldine, who is a chef, didn't visit Kirk"
,,1,Marlene saw Bob running from Brent's car,Marlene didn't saw Bob running
,,0,justin will hang up on me or justin will find her,justin will not find her
,,0,connie has visited deva or connie has visited giurgiu,connie visited neither bucharest nor giurgiu
,,0,costa rica is in the geopolitical position of peru or uruguay is in the geopolitical position of peru,uruguay isn t in the geopolitical position of peru
,,1,tracy has visited bucharest or tracy has visited craiova,tracy visited neither bucharest nor craiova
,,1,brett has visited vaslui or brett has visited slobozia,brett visited neither vaslui nor slobozia
,,1,ramona s painting is faithful or ramona s painting is agreeable,ramona s painting isn t faithful and ramona s painting isn t agreeable
,,1,Lula saw Olivia running from a orange bus with a new engine,Lula didn't saw Olivia running
,,1,bertha caught a white fish and bertha froze pearl s bank account,bertha didn t catch a white fish
,,0,claude created a plain work of art and claude created a handsome work of art,leah didn t create a handsome work of art
