sentence1,sentence2,label
Lena will give Rosa a mango bicycle or spend all my money,Lena will not give Rosa a mango bicycle and Lena wil not spend all my money,1
Saudi Arabia or Nigeria are in the geopolitical position of Portugal, neither Saudi Arabia nor Australia are in the geopolitical position of Portugal,0
Ken's painting is magnificent or eager, Ken's painting isn't magnificent and Ken's painting isn't eager,1
Alicia will send me a note or give Eddie a gray bicycle,Alicia will not send me a note,0
Australia or Iran won the last world cup,Australia didn't win the last world cup,0
Carl is unsightly or Claude is faithful, Carl is not unsightly and Claude is not faithful,1
Jeffery's painting is handsome or clean, Jeffery's painting isn't handsome and Jeffery's painting isn't clean,1
Billie is aggressive or Julia is chubby, neither Billie is aggressive nor Julia is chubby,1
Salvador will do some good work or pay Bradley,Salvador will not do some good work and Salvador wil not pay Bradley,1
Melinda will make me change the way I wrote or bet on the lemon car,Melinda will not make me change the way I wrote,0
Elsie is bald or Tamara is plump, Elsie is not bald and Tamara is not plump,1
Costa Rica or Iran won the last world cup,Costa Rica didn't win the last world cup and Iran didn't win the last world cup,1
Gregory traveled to Arad or Deva,Gregory didn't travel to Deva,0
Gordon will hold her close or buy a orange car,Gordon will neither hold her close nor buy a orange car,1
Jose is mysterious or Frank is embarrassed, Jose is not mysterious and Frank is not embarrassed,1
Ricky has visited Deva or Oradea,Julian visited neither Deva nor Oradea,0
Morris's painting is bald or odd, Morris's painting is neither bald nor odd,1
Billy will get the money or forgive Ian,Billy will not get the money and Billy wil not forgive Ian,1
Harvey is unkempt or Glen is worried, Harvey is not unkempt and Glen is not worried,1
Gilbert will lend me some money or cut a tree,Harry will neither lend me some money nor cut a tree,0
Audrey went to Blaj or Reghin,Audrey didn't go to Blaj and Audrey didn't go to Reghin,1
Patrick is kind or Rita is handsome, Patrick is not kind,0
Jane's painting is grumpy or nervous, Marlene's painting is neither grumpy nor nervous,0
William will hear Becky or fall to the floor,William will not fall to the floor,0
Tommy will ring into Laura or lend me some money,Tommy will neither ring into Laura nor lend me some money,1
Croatia or Panama are in the geopolitical position of Costa Rica, neither Croatia nor Panama are in the geopolitical position of Costa Rica,1
France or Portugal won the last world cup,France didn't win the last world cup,0
Charlie is plump or Bradley is obnoxious, Charlie is not plump,0
Dustin will show my new photos or wear a icy hat,Dustin will not show my new photos and Dustin wil not wear a icy hat,1
Jared will do some good work or find what I was looking for,Jared will not do some good work and Jared wil not find what I was looking for,1
Elmer is polite or Marcus is clean, Marcus is not clean,0
Jon will hide behind a bush or ring into Beulah,Jon will neither hide behind a bush nor begin crying,0
Tara's painting is rich or lemon, Tara's painting isn't rich and Tara's painting isn't lemon,1
Jackie has visited Slatina or Vaslui,Jackie didn't visit Slatina and Jackie didn't visit Vaslui,1
Morris will build Ruth's house or wear a red jacket,Morris will not build Ruth's house and Morris wil not wear a red jacket,1
Marcus will sing a pop song or become the most important butcher in this town,Marcus will not sing a pop song and Marcus wil not become the most important butcher in this town,1
Ann is stocky or Ian is agreeable, neither Ann is stocky nor Ian is agreeable,1
Victoria is ugly or Erin is gorgeous, neither Victoria is ugly nor Erin is gorgeous,1
Ronnie will hurt me or catch a icy fish,Ronnie will not hurt me and Ronnie wil not catch a icy fish,1
Diane will become the most important cashier in this town or hide a smile,Diane will not become the most important cashier in this town and Diane wil not hide a smile,1
Terrence's painting is famous or inexpensive, Eleanor's painting is neither famous nor inexpensive,0
Dana is dazzling or Stacy is repulsive, Dana is not dazzling,0
Brian is helpless or Elsie is repulsive, Brian is not helpless or Elsie is not repulsive,0
Priscilla traveled to Oradea or Arad,Priscilla traveled to neither Oradea nor Arad,1
Penny went to Dej or Reghin,Nelson went to neither Dej nor Reghin,0
Olga is magnificent or Ellen is skinny, neither Olga is magnificent nor Ellen is skinny,1
Kay is fit or Andy is bald, Kay is not fit or Andy is not bald,0
Ricardo will hang up on Vicki or ride the buffalo,Ricardo will neither hang up on Vicki nor ride the buffalo,1
Chris will come at night or make tea,Chris will neither come at night nor make tea,1
Toni is bald or Glenda is eager, neither Toni is bald nor Glenda is eager,1
Nora is fancy or Fannie is angry, neither Nora is fancy nor Fannie is angry,1
Nina will draw ahead of the other runners or bend the rules of the soccer game,Renee will neither draw ahead of the other runners nor bend the rules of the soccer game,0
Kristi has visited Slatina or Tulcea,Kristi didn't visit Tulcea,0
Frederick will break Leah's heart or burn some calories,Frederick will neither break Leah's heart nor burn some calories,1
Charlie will hit me or sleep for one day,Charlie will not hit me and Charlie wil not sleep for one day,1
Tyrone will sleep the night or teach Crystal about songwriting,Tyrone will neither sleep the night nor teach Crystal about songwriting,1
Mamie is thankful or Agnes is nervous, Mamie is not thankful,0
Terri will ride the buffalo or hurt him,Terri will not ride the buffalo,0
