sentence1,sentence2,label
alison has traveled to arad and sandy has traveled to arad,ross didn t travel to arad,1
carl has traveled to mangalia and sandy has traveled to slobozia,claudia didn t travel to mangalia,1
jackie has traveled to turda and sandy has traveled to bucharest,dwight didn t travel to bucharest,0
alison has visited deva and sandy has visited arad,emily didn t visit arad,1
erin has visited bucharest and sandy has visited bucharest,tyler didn t visit bucharest,1
alison has traveled to arad and sandy has traveled to deva,doris didn t travel to arad,0
lillian has visited dej and jimmy has visited baia mare,roberto didn t visit reghin,0
blanche went to oradea and sandy went to arad,nora didn t go to arad,1
judith went to cluj napoca and sandy went to blaj,susie didn t go to cluj napoca,1
glen went to dej and sandy went to tulcea,jacob didn t go to dej,0
glen went to slobozia and sandy went to dej,glenn didn t go to dej,1
alison went to vaslui and sandy went to vaslui,becky didn t go to vaslui,0
blanche went to bucharest and isaac went to giurgiu,stella didn t go to bucharest,1
ida has traveled to bucharest and howard has traveled to craiova,jon didn t travel to craiova,1
alison has traveled to arad and sandy has traveled to bucharest,ella didn t travel to arad,1
alison has traveled to arad and sandy has traveled to arad,blanche didn t travel to arad,1
lynn has traveled to bucharest and clinton has traveled to reghin,irene didn t travel to bucharest,1
erin has traveled to bucharest and jimmy has traveled to baia mare,eddie didn t travel to baia mare,0
kathryn went to giurgiu and sandy went to lugoj,alfred didn t go to giurgiu,1
bobbie has visited deva and sandy has visited vaslui,adam didn t visit vaslui,1
ida went to bucharest and howard went to craiova,leslie didn t go to bucharest,1
jennie has traveled to blaj and sandy has traveled to blaj,theodore didn t travel to turda,0
bobbie has visited turda and sandy has visited slatina,terrance didn t visit turda,1
jennie has traveled to blaj and sandy has traveled to slobozia,nicholas didn t travel to slobozia,0
bobbie has visited turda and sandy has visited turda,paul didn t visit turda,0
carl went to turda and howard went to mangalia,evelyn didn t go to mangalia,1
lillian has visited dej and sandy has visited tulcea,wesley didn t visit tulcea,1
blanche went to bucharest and sandy went to bucharest,genevieve didn t go to bucharest,1
ida went to cluj napoca and sandy went to oradea,natalie didn t go to cluj napoca,1
erin has visited bucharest and sandy has visited slobozia,myrtle didn t visit dej,0
dean has traveled to reghin and clinton has traveled to reghin,wendy didn t travel to reghin,1
kathryn went to hunedoara and isaac went to slobozia,eileen didn t go to slobozia,1
lillian has traveled to timisoara and sandy has traveled to timisoara,bryan didn t travel to timisoara,1
kathryn has visited hunedoara and sandy has visited hunedoara,molly didn t visit hunedoara,1
brandy has traveled to dej and sandy has traveled to bucharest,arlene didn t travel to turda,0
carl went to slobozia and isaac went to slobozia,heather didn t go to slobozia,0
bobbie has visited turda and sandy has visited turda,kayla didn t visit turda,1
kathryn has visited oradea and sandy has visited dej,nathaniel didn t visit dej,1
lillian has traveled to timisoara and howard has traveled to craiova,mabel didn t travel to craiova,1
ruth has visited giurgiu and sandy has visited giurgiu,ronnie didn t visit giurgiu,1
lillian went to timisoara and sandy went to timisoara,jimmy didn t go to timisoara,0
blanche has traveled to bucharest and sandy has traveled to bucharest,willie didn t travel to blaj,0
kathryn went to hunedoara and sandy went to cluj napoca,laurie didn t go to cluj napoca,1
carl went to baia mare and howard went to mangalia,judy didn t go to turda,0
sarah has traveled to craiova and sandy has traveled to vaslui,sara didn t travel to vaslui,1
ian has traveled to cluj napoca and sandy has traveled to tulcea,lindsay didn t travel to tulcea,1
nelson went to giurgiu and isaac went to giurgiu,joann didn t go to giurgiu,1
nathan has visited lugoj and sandy has visited lugoj,danielle didn t visit blaj,0
glen went to deva and sandy went to deva,eva didn t go to deva,1
carl has traveled to slobozia and chad has traveled to slobozia,kenneth didn t travel to slobozia,1
kathryn has visited oradea and sandy has visited lugoj,nathaniel didn t visit tulcea,0
jackie has traveled to turda and sandy has traveled to bucharest,arnold didn t travel to turda,1
ruth has visited giurgiu and sandy has visited giurgiu,marilyn didn t visit giurgiu,1
pauline went to giurgiu and howard went to craiova,neil didn t go to giurgiu,1
carl has traveled to baia mare and jimmy has traveled to baia mare,jamie didn t travel to baia mare,1
bobbie has visited turda and sandy has visited tulcea,vickie didn t visit tulcea,1
lillian has visited slatina and chad has visited giurgiu,luz didn t visit giurgiu,1
bobbie has visited reghin and sandy has visited tulcea,alicia didn t visit reghin,0
jodi has visited slatina and sandy has visited oradea,natasha didn t visit mangalia,0
brandy has visited dej and howard has visited craiova,jordan didn t visit lugoj,0
carl went to craiova and sandy went to baia mare,sally didn t go to baia mare,1
diane has visited deva and sandy has visited deva,jeff didn t visit deva,1
pauline went to vaslui and sandy went to bucharest,kirk didn t go to bucharest,1
blanche has traveled to oradea and sandy has traveled to cluj napoca,anne didn t travel to lugoj,0
lynn has traveled to turda and chad has traveled to turda,peter didn t travel to turda,0
kathryn went to giurgiu and sandy went to oradea,albert didn t go to oradea,1
javier has visited deva and sandy has visited blaj,sharon didn t visit deva,0
sheryl has visited cluj napoca and sandy has visited cluj napoca,philip didn t visit cluj napoca,1
lillian has traveled to dej and chad has traveled to giurgiu,bernice didn t travel to dej,1
isaac has traveled to slatina and sandy has traveled to slatina,cory didn t travel to slatina,1
lori went to tulcea and sandy went to tulcea,nathaniel didn t go to tulcea,1
alison went to vaslui and sandy went to baia mare,geraldine didn t go to vaslui,0
mike has visited reghin and sandy has visited timisoara,gina didn t visit timisoara,1
carl has traveled to mangalia and sandy has traveled to slobozia,violet didn t travel to slobozia,0
erin has visited bucharest and sandy has visited bucharest,jennifer didn t visit bucharest,1
lillian has traveled to tulcea and sandy has traveled to tulcea,jacqueline didn t travel to tulcea,0
glen has traveled to deva and sandy has traveled to arad,theresa didn t travel to bucharest,0
