and_A,and_B,label,sentence1,sentence2
,,1,vivian created a brave work of art and vivian created a famous work of art,vivian didn t create a brave work of art
,,1,erika created a brave work of art and erika created a scruffy work of art,erika didn t create a brave work of art
Harvey is silly,Jeanette is brave,1,Harvey is silly and Jeanette is brave, Harvey is not silly
,,1,sally created a dazzling work of art and sally created a bewildered work of art,sally didn t create a dazzling work of art
Lee is polite,Andre is gifted,0,Lee is polite and Andre is gifted, Andre is not polite
,,1,"Melissa, who is a electrician, visit Barbara",Melissa isn't a electrician
,,1,greg forgave gina and greg hid behind a bush,greg didn t forgive gina
,,1,Leona saw a girl driving Kelly's new Tesla Roadster,Leona didn't saw a girl driving
,,0,ellen won the soccer match and ellen knew catherine s secret,bruce didn t win the soccer match
,,0,"Myrtle, who is a scientist, bought a cup of coffee","Myrtle, who is a technician, didn't buy a cup of coffee"
,,1,harry has traveled to slobozia and kevin has traveled to slobozia,harry didn t travel to slobozia
,,0,marcus went to bucharest and andy went to bucharest,daryl didn t go to bucharest
,,0,"Lester, who is a flight attendant, saw the city mayor","Lester, who is a fireman, didn't saw the city mayor"
,,1,veronica has traveled to timisoara and danny has traveled to timisoara,veronica didn t travel to timisoara
,,0,denise has traveled to bucharest and denise has traveled to turda,jason didn t travel to turda
,,0,george created a short work of art and george created a beautiful work of art,glen didn t create a beautiful work of art
Julie is aggressive,Dwight is obedient,1,Julie is aggressive and Dwight is obedient, Julie is not aggressive
Sally is witty,Felix is wrong,0,Sally is witty and Felix is wrong, Felix is not witty
,,0,joel bent the rules of the soccer game and joel came at night,joel didn t shut the door down
Dana is lively,Timothy is calm,1,Dana is lively and Timothy is calm, Dana is not lively
James is witty,Duane is uninterested,0,James is witty and Duane is uninterested, James is not uninterested
,,1,"Gladys, who is a nurse, saw the accident",Gladys didn't saw the accident
,,1,kristine woke up and kristine wore a mango hat,kristine didn t wake up
,,0,ricardo created an aggressive work of art and ricardo created an elegant work of art,ada didn t create an aggressive work of art
,,0,Dan saw Renee running from a blue car,Dan didn't saw Renee running from a parade car
,,1,jeffery has traveled to bucharest and jeffery has traveled to hunedoara,jeffery didn t travel to bucharest
Janie is brave,Harriet is happy,1,Janie is brave and Harriet is happy, Janie is not brave
,,1,Ella saw a boy driving a ashy car,Ella didn't saw a boy driving
,,0,lorraine forgot about luz s hobby and lorraine blew me off,andy didn t blow me off
,,0,"Nellie, who is a fireman, visit Lee","Nellie, Luis's mother, didn't visit Lee"
Marsha is dead,Sonia is uninterested,1,Marsha is dead and Sonia is uninterested, Sonia is not uninterested
Raul is uninterested,Michele is famous,1,Raul is uninterested and Michele is famous, Michele is not famous
,,1,"Susie, who is a vet, saw a blue plane",Susie didn't saw a blue plane
,,1,lester created a salmon work of art and lester created a mango work of art,lester didn t create a salmon work of art
Courtney is clever,Christina is gifted,1,Courtney is clever and Christina is gifted, Christina is not gifted
,,1,rodney created a brave work of art and rodney created a kind work of art,rodney didn t create a brave work of art
Alberto is poor,Douglas is shy,1,Alberto is poor and Douglas is shy, Douglas is not shy
Sherry is aggressive,Delores is poor,0,Sherry is aggressive and Delores is poor, Delores is not aggressive
Vicki is happy,Amber is agreeable,0,Vicki is happy and Amber is agreeable, Neil is powerful
,,0,"Hector, who is a nurse, visit Toni","Hector, who is a engineer, didn't visit Toni"
Kenneth is gentle,Jeffrey is agreeable,1,Kenneth is gentle and Jeffrey is agreeable, Kenneth is not gentle
,,1,juan forgot about virgil s past and juan laid down,juan didn t lay down
,,0,gertrude bent the gray rod and gertrude met doris,gertrude didn t sit on the mat
,,1,ben created a fit work of art and ben created a zealous work of art,ben didn t create a fit work of art
,,1,"Pearl, who is a scientist, saw a girl running",Pearl isn't a scientist
,,0,"Brandy, who is a dentist, visit Kent","Brandy, Anna's mother, didn't visit Kent"
,,1,stacey bought a watch and stacey became the most important electrician in this town,stacey didn t buy a watch
,,1,michelle has traveled to bucharest and michelle has traveled to reghin,michelle didn t travel to bucharest
,,0,barbara grew up and barbara began screaming,alberto didn t begin screaming
,,1,molly did everything and molly put diana in charge,molly didn t put diana in charge
,,0,cory cut my hair and cory gave jennie a blue car,jack didn t give jennie a blue car
